Metric,Value
train_rmse,0.06885606220544851
test_rmse,0.09550704939385957
train_mae,0.03341026173861786
test_mae,0.04078999986908252
train_weighted_rmse,0.034337075137414075
test_weighted_rmse,0.044531859859325174
train_weighted_mae,0.020863851092391996
test_weighted_mae,0.02443952322695295
train_zero_avg_pred,0.02650442160665989
test_zero_avg_pred,0.030039474368095398
train_nonzero_avg_pred,0.057322852313518524
train_nonzero_avg_actual,0.10916966927856608
test_nonzero_avg_pred,0.03610158711671829
test_nonzero_avg_actual,0.10911442782909639
train_nonzero_rmse,0.11961668140565802
test_nonzero_rmse,0.18078272432717654
train_zero_count,21490.0
train_nonzero_count,5600.0
test_zero_count,7164.0
test_nonzero_count,1866.0
train_rounded_accuracy,0.993687707641196
test_rounded_accuracy,0.9918050941306755
